date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,phường
23/10/2020,/files/properties/2020/9/15/thumbnails/06930360-5212-cho-thue-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,18,4,NULL,288, ---, _,4800.0,"Đường Trung Văn, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn

23/10/2020,/files/properties/2020/9/15/thumbnails/0can-ban-can-ho-o-iph-xuan-thuy-117m2-chia-3-ngu-full-noi-that-dep-dau-tu-sinh-loi-cao.jpg,NULL,19,3,NULL,117, ---, _,6200.0,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu

23/10/2020,/files/properties/2020/9/16/thumbnails/06941539-1845-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,8,3,NULL,107, ---, _,2889.0,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu

23/10/2020,/files/properties/2020/9/16/thumbnails/06941649-4237-cho-thue-can-ho-chung-cu-quan-cau-giay-chinh-chu.jpg,9.0,29,3,NULL,125, ---, _,4400.0,"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu

23/10/2020,/files/properties/2020/10/6/thumbnails/07070789-3042-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,3,2,NULL,55, ---, _,1700.0,"Phố Vạn Bảo, Phường Đội Cấn, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Đội Cấn

23/10/2020,/files/properties/2020/10/6/thumbnails/0can-ban-can-ho-sieu-vip-iph-114m2-chia-3-ngu-full-noi-that-co-1-slot-gui-xe-mien-phi.jpg,11.0,12,3,NULL,114, ---, _,6250.0,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu

23/10/2020,/files/properties/2020/10/9/thumbnails/07092395-0129-ban-can-ho-chung-cu-ha-noi.jpg,NULL,33,4,NULL,150, ---, _,4300.0,"Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn

23/10/2020,/files/properties/2020/10/9/thumbnails/07095079-0254-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,6,2,NULL,70, ---, _,2500.0,"Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1

23/10/2020,/files/properties/2020/10/9/thumbnails/07095168-1727-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,5.0,15,2,NULL,81, ---, _,2400.0,"Đường Nguyễn Hoàng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1

23/10/2020,/files/properties/2020/10/9/thumbnails/07095240-2840-ban-can-ho-chung-cu-quan-nam-tu-liem-chinh-chu.jpg,NULL,3,3,NULL,189, ---, _,7900.0,"Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1

23/10/2020,/files/properties/2020/9/28/thumbnails/07014306-1210-ban-can-ho-chung-cu-quan-bac-tu-liem-gia-re.jpg,NULL,14,2,NULL,60, ---, _,2000.0,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1

23/10/2020,/files/properties/2020/9/28/thumbnails/07014540-3458-ban-can-ho-chung-cu-quan-bac-tu-liem-chinh-chu.jpg,NULL,34,3,NULL,90, ---, _,3200.0,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1

23/10/2020,/files/properties/2020/9/30/thumbnails/07029716-0237-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,7,3,NULL,105, ---, _,3300.0,"Phố Dương Đình Nghệ, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hòa

23/10/2020,/files/properties/2020/9/30/thumbnails/0can-ban-chung-cu-vihomes-metropolis-lieu-giai-115m2-chia-3-ngu-full-do.jpg,5.0,11,3,NULL,115, ---, _,9100.0,"Phố Liễu Giai, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai

23/10/2020,/files/properties/2020/10/1/thumbnails/07036416-0017-ban-can-ho-chung-cu-quan-cau-giay-chinh-chu.jpg,46.0,5,2,NULL,80, ---, _,2500.0,"Phố Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu

23/10/2020,/files/properties/2020/10/3/thumbnails/07050620-0735-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,12,3,NULL,133, ---, _,4260.0,"Đường Thành Thái, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng

23/10/2020,/files/properties/2020/10/3/thumbnails/0can-ban-chung-cu-dimaond-flower-le-van-luong-174m2-chia-3-ngu-noi-that-rat-dep.jpg,NULL,29,3,NULL,174, ---, _,5600.0,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính

23/10/2020,/files/properties/2020/10/3/thumbnails/07053856-4032-ban-can-ho-chung-cu-quan-thanh-xuan.jpg,NULL,10,3,NULL,103, ---, _,2268.0,"Phố Nguyễn Huy Tưởng, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính

23/10/2020,/files/properties/2020/10/3/thumbnails/07053902-5249-ban-can-ho-chung-cu-ha-noi.jpg,NULL,15,2,NULL,94, ---, _,2800.0,"Đường Lê Văn Thiêm, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính

23/10/2020,/files/properties/2020/9/18/thumbnails/06951236-0106-ban-can-ho-chung-cu-ha-noi.jpg,NULL,29,4,NULL,97, ---, _,2700.0,"Đường Phạm Hùng, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1

23/10/2020,/files/properties/2020/1/13/thumbnails/05716280-1853-ban-can-ho-chung-cu-quan-cau-giay-chinh-chu.jpg,NULL,5,2,NULL,46, ---, _,600.0,"Đường Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô

23/10/2020,/files/properties/default.jpg,NULL,5,1,NULL,30, ---, _,520.0,"Phố Thái Thịnh 1, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt

23/10/2020,/files/properties/2020/10/23/thumbnails/07186552-5318-ban-can-ho-chung-cu-quan-thanh-xuan-chinh-chu.jpg,NULL,NULL,3,NULL,117, ---, Tây Nam,4000.0,"Phố Nguyễn Huy Tưởng, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính

23/10/2020,/files/properties/2020/7/8/thumbnails/06507854-3642-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,3,NULL,114, ---, _,2100.0,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung

23/10/2020,/files/properties/2020/7/15/thumbnails/06548337-5702-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,2,NULL,59, ---, _,1500.0,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung

23/10/2020,/files/properties/2020/9/23/thumbnails/0co-hoi-dau-tu-sieu-pham-thanh-pho-thu-duc-gia-dot-1-cdt.jpg,NULL,39,2,NULL,50, ---, _,800.0,"Quận Cầu Giấy, Hà Nội",,

23/10/2020,/files/properties/2020/9/26/thumbnails/20200926_104151_166821_0.jpg,40.0,39,2,1,68, 6x10m, Tây Bắc,3740.0,"Quận Đống Đa, Hà Nội",,

23/10/2020,/files/properties/2020/9/9/thumbnails/06889619-4234-ban-nha-trong-hem-ha-noi-gia-re.jpg,3.0,5,21,NULL,127, ---, _,12800.0,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2

23/10/2020,/files/properties/2020/9/21/thumbnails/06970503-3304-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,1,2,NULL,98, ---, _,2500.0,"Đường Chu Văn An, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc

23/10/2020,/files/properties/2020/10/17/thumbnails/20201017_094237_566709_0.jpg,3.0,11,5,1,93, ---, Tây Nam,2900.0,"Đường Lê Văn Thiêm, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính

23/10/2020,/files/properties/2020/10/16/thumbnails/07144075-4038-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,2,1,72, ---, _,1000.0,"Tỉnh Lộ 422B, Xã Vân Canh, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Vân Canh

23/10/2020,/files/properties/default.jpg,NULL,9,2,NULL,93, ---, _,2976.0,"Đường Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Phương Mai

23/10/2020,/files/properties/2019/9/23/thumbnails/20190923_105109_5140429_0.jpg,2.5,7,50,NULL,197, ---, _,19000.0,"Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Nam

23/10/2020,/files/properties/2019/9/26/thumbnails/20190926_024444_5163405_0.jpg,NULL,15,3,NULL,145, ---, _,5500.0,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ

23/10/2020,/files/properties/2020/7/14/thumbnails/05061211-3223-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,10,2,NULL,65, ---, _,3500.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa

23/10/2020,/files/properties/2020/5/19/thumbnails/06182923-2351-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,11,2,NULL,70, ---, _,3600.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Giảng Võ

23/10/2020,/files/properties/2020/6/25/thumbnails/06417502-3820-ban-can-ho-chung-cu-quan-ba-dinh-chinh-chu.jpg,NULL,12,3,NULL,123, ---, _,4000.0,"Phố Ngọc Khánh, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Giảng Võ

23/10/2020,/files/properties/2020/6/29/thumbnails/06442210-1403-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,16,3,NULL,133, ---, _,3800.0,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ

23/10/2020,/files/properties/2020/6/4/thumbnails/06279450-4748-ban-can-ho-chung-cu-quan-dong-da-chinh-chu.jpg,NULL,10,3,NULL,121, ---, _,5300.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa

23/10/2020,/files/properties/2020/8/27/thumbnails/06818570-5526-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,2,3,NULL,95, ---, _,3300.0,"Phố Núi Trúc, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Giảng Võ

23/10/2020,/files/properties/2020/9/14/thumbnails/06925107-0902-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,20,3,NULL,128, ---, _,6700.0,"Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh

23/10/2020,/files/properties/2020/10/2/thumbnails/07043696-5044-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,12,2,NULL,108, ---, _,4850.0,"Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh

23/10/2020,/files/properties/2020/10/15/thumbnails/07131222-1852-ban-can-ho-chung-cu-quan-bac-tu-liem-gia-re.jpg,NULL,21,4,NULL,122, ---, _,2300.0,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phú Diễn

23/10/2020,/files/properties/2020/5/28/thumbnails/06239807-5501-ban-can-ho-chung-cu-quan-nam-tu-liem-chinh-chu.jpg,NULL,15,3,NULL,100, ---, _,2700.0,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2

23/10/2020,/files/properties/2020/4/2/thumbnails/06006324-2039-ban-can-ho-chung-cu-quan-tay-ho-gia-re.jpg,NULL,12,2,NULL,67, ---, _,2400.0,"Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Phú Thượng

23/10/2020,/files/properties/2020/4/20/thumbnails/06053533-0520-ban-can-ho-chung-cu-quan-ba-dinh-chinh-chu.jpg,NULL,20,2,NULL,82, ---, _,3198.0,"Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Thành Công

23/10/2020,/files/properties/2019/8/7/thumbnails/20190807_030944_4888331_0.jpg,NULL,23,2,NULL,74, ---, _,2200.0,"Đường Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phú Diễn

23/10/2020,/files/properties/2017/9/26/thumbnails/20170926_043114_2411488_0.jpg,NULL,NULL,NULL,NULL,124, ---, _,2480.0,"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2

23/10/2020,/files/properties/2018/9/18/thumbnails/20180918_105339_3481960_0.jpg,NULL,12,3,NULL,159, ---, _,2941.5,"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1

23/10/2020,/files/properties/2020/6/3/thumbnails/06273521-5157-ban-can-ho-chung-cu-quan-ba-dinh.jpg,NULL,12,2,NULL,61, ---, _,2318.0,"Phố Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Thành Công

23/10/2020,/files/properties/2019/1/19/thumbnails/20190119_033337_3971759_0.jpg,8.0,15,1,1,33, 5x6m, Đông Nam,800.0,"Đường Công Nghiệp 1, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Phúc Đồng

23/10/2020,/files/properties/2020/9/11/thumbnails/06911009-4053-ban-can-ho-chung-cu-quan-hai-ba-trung-chinh-chu.jpg,NULL,2,2,1,118, ---, _,9600.0,"Phố Mai Hắc Đế, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Lê Đại Hành

23/10/2020,/files/properties/2020/9/26/thumbnails/07007807-0210-ban-can-ho-chung-cu-quan-hoang-mai.jpg,NULL,20,3,NULL,70, ---, Tây Bắc,1770.0,"Đường Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Liệt

