date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ
Hôm nay,/files/properties/2020/9/24/thumbnails/06992177-4443-ban-nha-mat-tien-quan-dong-da.jpg,6m,4 lầu,4 phòng ngủ,NULL, 45 m vuông, ---, _," 5,2 tỷ ","Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2019/7/10/thumbnails/20190710_113433_3233915_0.jpg,3m,3 lầu,3 phòng ngủ,NULL, 33 m vuông, ---, Đông Nam," 1,19 tỷ ","Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/9/23/thumbnails/06985953-4529-ban-van-phong-ha-noi.jpg,10m,8 lầu,8 phòng ngủ,NULL, 150 m vuông, 10x15m, _, 25 tỷ ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/7/28/thumbnails/06634841-4015-ban-nha-mat-tien-quan-cau-giay.jpg,15m,6 lầu,4 phòng ngủ,NULL, 80 m vuông, 6x13m, _, 7 tỷ ,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06894198-4449-ban-nha-mat-tien-quan-cau-giay-chinh-chu.jpg,3m,6 lầu,5 phòng ngủ,chỗ để xe, 48 m vuông, 6x8m, _," 5,3 tỷ ","Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07035155-3115-ban-nha-mat-tien-ha-noi.jpg,10m,5 lầu,6 phòng ngủ,chỗ để xe, 91 m vuông, ---, _, 28 tỷ ,"Phố Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/8/5/thumbnails/06688450-3133-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,6m,8 lầu,8 phòng ngủ,chỗ để xe, 120 m vuông, ---, _, 23 tỷ ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/16/thumbnails/06939563-1421-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,12m,5 lầu,6 phòng ngủ,chỗ để xe, 46 m vuông, ---, _," 8,7 tỷ ","Phố Ngụy Như Kon Tum, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07032956-3935-ban-dat-tho-cu-dat-o-quan-cau-giay-gia-re.jpg,7m,NULL,NULL,NULL, 272 m vuông, 8x33m, Đông Bắc, 250 triệu ,"Đường Cầu Giấy, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07037269-2433-ban-nha-trong-hem-quan-cau-giay-chinh-chu.jpg,2m,3 lầu,2 phòng ngủ,NULL, 34 m vuông, ---, _," 3,5 tỷ ","Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07032160-4919-ban-nha-mat-tien-ha-noi-gia-re.jpg,4m,4 lầu,3 phòng ngủ,NULL, 45 m vuông, ---, _," 5,9 tỷ ","Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07032251-5935-ban-nha-mat-tien-ha-noi.jpg,3m,5 lầu,3 phòng ngủ,NULL, 40 m vuông, ---, _," 4,2 tỷ ","Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07035513-5413-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,4m,5 lầu,3 phòng ngủ,NULL, 30 m vuông, ---, _," 3,58 tỷ ","Phố 8/3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07037158-5056-ban-nha-trong-hem-quan-dong-da-gia-re.jpg,"2,5m",5 lầu,3 phòng ngủ,NULL, 35 m vuông, ---, _, 4 tỷ ,"Phố Tây Sơn, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/28/thumbnails/06169590-1615-ban-biet-thu-nha-lien-ke-ha-noi-chinh-chu.jpg,6m,4 lầu,5 phòng ngủ,chỗ để xe, 300 m vuông, 6x14m, _," 9,6 tỷ ","Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07037036-1647-ban-nha-trong-hem-ha-noi.jpg,4m,6 lầu,5 phòng ngủ,NULL, 55 m vuông, ---, _," 10,6 tỷ ","Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/26/thumbnails/06773449-1409-ban-nha-trong-hem-quan-thanh-xuan-chinh-chu.jpg,2m,4 lầu,2 phòng ngủ,NULL, 30 m vuông, ---, _," 2,95 tỷ ","Phố Nhân Hòa, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07025488-1423-ban-nha-trong-hem-ha-noi.jpg,2m,4 lầu,3 phòng ngủ,NULL, 30 m vuông, ---, _, 3 tỷ ,"Đường Thịnh Hào, Phường Hàng Bột, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07025521-2530-ban-nha-trong-hem-quan-hai-ba-trung-gia-re.jpg,2m,4 lầu,4 phòng ngủ,NULL, 46 m vuông, ---, _," 3,2 tỷ ","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07036969-2212-ban-nha-mat-tien-ha-noi-gia-re.jpg,10m,5 lầu,6 phòng ngủ,NULL, 75 m vuông, ---, _," 7,5 tỷ ","Đường Nguyễn Khang, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07036713-2757-ban-nha-mat-tien-ha-noi.jpg,8m,4 lầu,3 phòng ngủ,chỗ để xe, 40 m vuông, 7x6m, _," 3,9 tỷ ","Đường Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07035321-4205-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,"6,0m",5 lầu,6 phòng ngủ,chỗ để xe, 55 m vuông, ---, _," 8,9 tỷ ","Phố Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/9/24/thumbnails/06988954-4436-ban-nha-mat-tien-ha-noi.jpg,6m,7 lầu,6 phòng ngủ,NULL, 60 m vuông, ---, _," 15,5 tỷ ","Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/7/18/thumbnails/06250617-2706-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,4m,3 lầu,3 phòng ngủ,NULL, 35 m vuông, 5x6m, Đông Nam," 1,45 tỷ ","Đường Thượng Cát, Phường Thượng Cát, Quận Bắc Từ Liêm, Hà Nội"
Hôm nay,/files/properties/2020/9/15/thumbnails/06932561-1456-ban-nha-trong-hem-quan-nam-tu-liem-gia-re.jpg,3m,5 lầu,3 phòng ngủ,NULL, 32 m vuông," 3,2x11m", Đông Nam," 2,7 tỷ ","Đường Lê Đức Thọ, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội"
Hôm nay,/files/properties/2020/9/18/thumbnails/0ban-dat-o-to-do-cua-2-mat-duong-890-trieu-bao-ten-so-do-chinh-chu-canh-aeon-mall-ha-dong.jpg,4m,NULL,NULL,NULL, 30 m vuông," 3,3x10m", Nam, 850 triệu ,"Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/9/26/thumbnails/07005105-1117-ban-nha-mat-tien-ha-noi-gia-re.jpg,10m,3 lầu,3 phòng ngủ,NULL, 80 m vuông, ---, _," 16,9 tỷ ","Phố Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/25/thumbnails/06999373-2514-ban-nha-mat-tien-hoan-kiem.jpg,6m,5 lầu,6 phòng ngủ,NULL, 96 m vuông, 9x11m, _, 62 tỷ ,"Phố Tràng Thi, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội"
Hôm nay,/files/properties/2020/9/23/thumbnails/06988363-5032-ban-nha-trong-hem-ha-noi.jpg,"2,2m",5 lầu,3 phòng ngủ,NULL, 40 m vuông, ---, _," 3,75 tỷ ","Đường Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/20200930_033129_381680_0.jpg,4m,5 lầu,3 phòng ngủ,NULL, 32 m vuông," 4,3x8m", Đông Bắc," 3,95 tỷ ","Đường Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/0ban-gap-cho-con-o-nuoc-ngoai-nha-ton-duc-thang-70m2-x-4-tang-gia-7-75-ty.jpg,10m,4 lầu,4 phòng ngủ,NULL, 70 m vuông, ---, _," 7,75 tỷ ","Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/06957855-1153-ban-nha-trong-hem-ha-noi-gia-re.jpg,8m,5 lầu,5 phòng ngủ,chỗ để xe, 54 m vuông, ---, _," 5,6 tỷ ","Đường Linh Đàm, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07026872-2942-ban-nha-mat-tien-quan-ba-dinh-chinh-chu.jpg,4m,5 lầu,3 phòng ngủ,NULL, 30 m vuông, ---, Đông Bắc, 3 tỷ ,"Phố Tân Ấp, Phường Phúc Xá, Quận Ba Đình, Hà Nội"
Hôm nay,/files/properties/2020/9/27/thumbnails/07011183-5205-ban-nha-mat-tien-ha-noi-gia-re.jpg,7m,7 lầu,8 phòng ngủ,chỗ để xe, 85 m vuông, ---, _, 26 tỷ ,"Đường Trung Hòa, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/25/thumbnails/06999810-3311-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,5 lầu,3 phòng ngủ,NULL, 68 m vuông," 5,56x6,7m", Tây Nam," 2,9 tỷ ","Phố Đông Tác, Phường Kim Liên, Quận Đống Đa, Hà Nội"
30/09/2020,/files/properties/2020/9/22/thumbnails/06975158-0954-ban-nha-mat-tien-ha-noi.jpg,20m,4 lầu,4 phòng ngủ,NULL, 40 m vuông, ---, _," 11,9 tỷ ","Đường Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/0lo-goc-o-to-tranh-kinh-doanh-pho-le-trong-tan-150m2-mt-8-7m-gia-15-ty-.jpg,8m,3 lầu,4 phòng ngủ,chỗ để xe, 150 m vuông," 8,7x18m", _, 15 tỷ ,"Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội"
30/09/2020,/files/properties/2020/9/6/thumbnails/06873854-4918-ban-nha-trong-hem-ha-noi.jpg,"3,5m",5 lầu,3 phòng ngủ,chỗ để xe, 40 m vuông," 3,7x11m", _," 4,1 tỷ ","Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
30/09/2020,/files/properties/2020/7/28/thumbnails/06637053-0054-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,5m,3 lầu,2 phòng ngủ,NULL, 35 m vuông," 3,55x10m", Đông Nam," 4,35 tỷ ","Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/07030366-0339-ban-nha-mat-tien-ha-noi-gia-re.jpg,6m,4 lầu,4 phòng ngủ,chỗ để xe, 60 m vuông, ---, _," 6,8 tỷ ","Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội"
30/09/2020,/files/properties/2020/9/23/thumbnails/06982806-3525-ban-nha-trong-hem-ha-noi-gia-re.jpg,5m,4 lầu,4 phòng ngủ,chỗ để xe, 76 m vuông, 4x19m, _, 5 tỷ ,"Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội"
30/09/2020,/files/properties/2020/8/9/thumbnails/05804868-3419-ban-nha-mat-tien-quan-thanh-xuan.jpg,12m,10 lầu,91 phòng ngủ,chỗ để xe, 2.520 m vuông, 12x20m, _, 43 tỷ ,"Quận Thanh Xuân, Hà Nội"
30/09/2020,/files/properties/2020/7/7/thumbnails/06432906-4709-ban-nha-mat-tien-quan-thanh-xuan.jpg,8m,10 lầu,22 phòng ngủ,chỗ để xe, 171 m vuông, 8x25m, _," 39,9 tỷ ","Đường Nguyễn Xiển, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội"
30/09/2020,/files/properties/2020/8/9/thumbnails/05755651-3240-ban-nha-mat-tien-quan-ha-dong.jpg,12m,10 lầu,112 phòng ngủ,chỗ để xe, 2.400 m vuông, 12x20m, Nam, 43 tỷ ,"Đường Phùng Hưng, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/07028707-3106-ban-dat-tho-cu-dat-o-ha-noi-gia-re.jpg,20m,NULL,NULL,chỗ để xe, 7.000 m vuông, 70x100m, _, 9 triệu / m,"Đường Láng Hòa Lạc, Xã Phú Cát, Huyện Quốc Oai, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/07028621-2416-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,4m,4 lầu,3 phòng ngủ,chỗ để xe, 60 m vuông, ---, _," 4,7 tỷ ","Phố Lạc Trung, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/07028429-1010-ban-nha-mat-tien-quan-hoang-mai.jpg,4m,5 lầu,4 phòng ngủ,chỗ để xe, 41 m vuông, 4x10m, _," 4,15 tỷ ","Đường Hoàng Mai, Phường Tương Mai, Quận Hoàng Mai, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/07028065-4330-ban-phong-tro-nha-tro-quan-nam-tu-liem-chinh-chu.jpg,5m,8 lầu,26 phòng ngủ,chỗ để xe, 105 m vuông, ---, Đông Bắc," 16,5 tỷ ","Đường Lương Thế Vinh, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/07027714-2100-ban-nha-mat-tien-quan-hai-ba-trung-chinh-chu.jpg,8m,7 lầu,8 phòng ngủ,chỗ để xe, 185 m vuông, ---, _," 22,5 tỷ ","Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội"
30/09/2020,/files/properties/2020/9/30/thumbnails/20200930_091631_491738_1.jpg,10m,NULL,3 phòng ngủ,chỗ để xe, 98 m vuông, ---, _," 2,2 tỷ ","Đường Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà Nội"
30/09/2020,/files/properties/default.jpg,NULL,NULL,NULL,NULL, 60 m vuông, ---, _," 9,8 tỷ ","Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
30/09/2020,/files/properties/2020/9/11/thumbnails/20200911_111309_6907725_0.jpg,NULL,NULL,NULL,NULL, 100 m vuông, ---, _," 1,5 triệu / m","Huyện Sóc Sơn, Hà Nội"
29/09/2020,/files/properties/2020/9/29/thumbnails/0-ban-dat-vong-thi-tay-ho-55m2-dat-5m-mat-tien-6-3-ty-.jpg,4m,1 lầu,2 phòng ngủ,NULL, 55 m vuông, ---, _," 6,3 tỷ ","Phố Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội"
28/09/2020,/files/properties/2020/9/28/thumbnails/07015932-5507-ban-dat-tho-cu-dat-o-ha-noi.jpg,4m,NULL,NULL,NULL, 40 m vuông, 4x10m, _," 1,44 tỷ ","Đường Kiêu Kỵ, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội"
28/09/2020,/files/properties/default.jpg,40m,NULL,NULL,NULL, 40 m vuông, ---, _," 18,5 tỷ ","Phố Văn Cao, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội"
27/09/2020,/files/properties/2020/9/27/thumbnails/07010971-1254-ban-nha-trong-hem-quan-cau-giay-chinh-chu.jpg,4m,5 lầu,4 phòng ngủ,chỗ để xe, 62 m vuông, ---, _," 4,5 tỷ ","Đường Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
27/09/2020,/files/properties/2020/9/27/thumbnails/07008890-0547-ban-nha-mat-tien-quan-cau-giay-gia-re.jpg,7m,5 lầu,4 phòng ngủ,chỗ để xe, 30 m vuông, ---, _, 11 tỷ ,"Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07008616-1653-ban-nha-mat-tien-quan-dong-da.jpg,3m,9 lầu,4 phòng ngủ,chỗ để xe, 61 m vuông, ---, _," 26,5 tỷ ","Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
23/09/2020,/files/properties/2020/9/22/thumbnails/0-chinh-chu-ban-gap-dat-loc-dep-khu-vuc-cau-giay.jpg,7m,NULL,NULL,chỗ để xe, 60 m vuông, ---, Tây, 120 triệu / m,"Đường Phạm Thận Duật, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/10/thumbnails/0tien-nhieu-de-lam-gi-nha-cho-thue-dong-tien-hieu-suat-khung-thang-may-nhap-khau.jpg,5m,6 lầu,10 phòng ngủ,NULL, 60 m vuông, ---, _," 5,5 tỷ ","Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07040062-2746-ban-nha-trong-hem-quan-thanh-xuan-gia-re.jpg,3m,4 lầu,3 phòng ngủ,NULL, 31 m vuông, 7x5m, _," 3,9 tỷ ","Đường Nguyễn Trãi, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/0can-ban-nha-mat-ngo-thai-ha-vip-53m-5tang-mt-8m-chi-6-ty.jpg,3m,5 lầu,4 phòng ngủ,NULL, 53 m vuông, 7x8m, _, 6 tỷ ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/26/thumbnails/07005999-4214-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,2m,5 lầu,3 phòng ngủ,NULL, 38 m vuông, ---, _," 3,4 tỷ ","Phố Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07033108-3030-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,8m,2 lầu,2 phòng ngủ,NULL, 48 m vuông, ---, _," 7,8 tỷ ","Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/26/thumbnails/07006175-2120-ban-nha-trong-hem-ha-noi.jpg,"3,5m",4 lầu,3 phòng ngủ,NULL, 45 m vuông, ---, _," 5,6 tỷ ","Phố Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/25/thumbnails/0sieu-pham-38m2-bo-de-dep-long-lanh-gia-chi-nhinh-3-ty.jpg,"2,5m",5 lầu,3 phòng ngủ,NULL, 38 m vuông, ---, _," 3,4 tỷ ","Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội"
Hôm nay,/files/properties/2020/9/26/thumbnails/07006032-4628-ban-nha-trong-hem-ha-noi-gia-re.jpg,"3,5m",5 lầu,3 phòng ngủ,NULL, 36 m vuông, ---, _," 3,75 tỷ ","Đường Nguyễn Sơn, Phường Bồ Đề, Quận Long Biên, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07039934-4230-ban-biet-thu-nha-lien-ke-quan-ha-dong-chinh-chu.jpg,8m,5 lầu,6 phòng ngủ,chỗ để xe, 83 m vuông," 5x13,5m", Tây Nam," 7,6 tỷ ","Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/4/thumbnails/06534545-2533-ban-nha-trong-hem-quan-cau-giay-chinh-chu.jpg,3m,5 lầu,3 phòng ngủ,chỗ để xe, 35 m vuông, 5x7m, _," 4,1 tỷ ","Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07029772-1543-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,2 lầu,2 phòng ngủ,NULL, 45 m vuông, 5x9m, _," 4,2 tỷ ","Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/28/thumbnails/07018063-4741-ban-nha-trong-hem-quan-hoang-mai.jpg,4m,4 lầu,6 phòng ngủ,chỗ để xe, 45 m vuông, ---, _," 3,5 tỷ ","Phố Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội"
Hôm nay,/files/properties/2020/9/27/thumbnails/06559242-2056-ban-nha-mat-tien-quan-thanh-xuan.jpg,5m,6 lầu,4 phòng ngủ,chỗ để xe, 42 m vuông, ---, _," 6,3 tỷ ","Phố Nguyễn Ngọc Nại, Phường Khương Trung, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07020657-5630-ban-nha-mat-tien-quan-hoang-mai-chinh-chu.jpg,10m,7 lầu,6 phòng ngủ,chỗ để xe, 100 m vuông, ---, _," 11,8 tỷ ","Đường Yên Duyên, Phường Yên Sở, Quận Hoàng Mai, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/07032431-2612-ban-nha-trong-hem-quan-dong-da.jpg,3m,4 lầu,3 phòng ngủ,NULL, 33 m vuông," 3,3x10m", _," 3,3 tỷ ","Đường Láng, Phường Thịnh Quang, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07036206-4403-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,6m,5 lầu,4 phòng ngủ,NULL, 60 m vuông," 3,8x15m", _," 6,8 tỷ ","Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07020200-2605-ban-dat-tho-cu-dat-o-huyen-long-dien.jpg,40m,NULL,NULL,NULL, 100 m vuông, 5x20m, _, 810 triệu ,"Đường Đồng Lai, Xã Minh Trí, Huyện Sóc Sơn, Hà Nội"
Hôm nay,/files/properties/2020/9/25/thumbnails/06996732-3909-ban-nha-mat-tien-ha-noi.jpg,20m,10 lầu,100 phòng ngủ,NULL, 240 m vuông, 12x20m, _, 43 tỷ ,"Đường Phùng Hưng, Phường Phúc La, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07035694-0517-ban-nha-mat-tien-quan-ha-dong-chinh-chu.jpg,5m,4 lầu,3 phòng ngủ,chỗ để xe, 40 m vuông, ---, _," 2,4 tỷ / m","Đường 19 tháng 5, Phường Phúc La, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07038421-1323-ban-nha-mat-tien-ha-noi.jpg,10m,5 lầu,6 phòng ngủ,chỗ để xe, 100 m vuông, ---, _, 16 tỷ ,"Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/28/thumbnails/07014784-1503-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,3m,5 lầu,4 phòng ngủ,NULL, 42 m vuông, ---, _," 2,55 tỷ ","Phố Kim Ngưu, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
